Name,City,Cuisine_Style,Rating,Price_Range
Bar Pietro,Barcelona,Moroccan,5.0,2
Angels & Carmen of Foodie Sisters,Barcelona,Spanish,5.0,2
Barbiturik BCN,Barcelona,Italian,5.0,1
Apetito,Barcelona,Lebanese,5.0,2
Asian Restaurant,Barcelona,Indian,4.0,1
Ale ale cafe,Barcelona,Cafe,5.0,1
Bar-celona cafe,Barcelona,Mediterranean,5.0,1
Bar Okinawa,Barcelona,Bar,5.0,2
Alain Pizza,Barcelona,Italian,5.0,1
52 Cafe,Barcelona,Mediterranean,5.0,1
Bar Bodega Montse,Barcelona,Spanish,5.0,1
Barrigo Bar Vermut i Tapes,Barcelona,Spanish,5.0,2
Bistrot Levante,Barcelona,Cafe,5.0,2
Bar Restaurante 0086,Barcelona,Chinese,5.0,4
Barcelona Food Makers,Barcelona,Cafe,5.0,1
Bloody Mary Cocktail & Tapas,Barcelona,Bar,5.0,2
Beef Bull Club,Barcelona,International,5.0,4
BdGust Restaurant & Cocktail,Barcelona,Mediterranean,5.0,2
Bar Pipa,Barcelona,Bar,5.0,1
Bar Restaurante La Xicoia,Barcelona,Mediterranean,5.0,2
Bellako Gastro Kebab,Barcelona,Fast Food,5.0,2
Bar Restaurante El Rincon,Barcelona,Bar,5.0,2
Bardelona,Barcelona,Brew Pub,5.0,1
Bar 134,Barcelona,Spanish,5.0,2
Biscuit,Barcelona,Italian,4.5,2
Bavaria Blue,Barcelona,Mexican,5.0,2
Amics al Cafe,Barcelona,Mediterranean,5.0,2
BAR Modern,Barcelona,American,5.0,1
BeBo Cold Press,Barcelona,Mediterranean,5.0,2
Blitzbar,Barcelona,German,5.0,1
Ambrosia,Barcelona,Mediterranean,4.0,2
Atrium,Barcelona,Mediterranean,3.5,1
Angela Bertoni Pasta Fresca des de 1965,Barcelona,Italian,5.0,2
Barramon,Barcelona,Spanish,3.5,2
Bar Bomberos,Barcelona,Bar,5.0,2
Azul Frida,Barcelona,Mexican,5.0,2
Namaste,Berlin,Indian,5.0,2
Begur - Cuina Catalana,Berlin,Mediterranean,5.0,2
BAO Vietnamese Cooking,Berlin,Asian,5.0,1
BBB Restaurant,Berlin,American,5.0,2
Bulbul Berlin,Berlin,Mediterranean,5.0,1
Cafe Jenseits,Berlin,Cafe,5.0,1
Biscotti,Berlin,Italian,5.0,2
Bahadur,Berlin,Vegetarian Friendly,5.0,1
Avocai Food and Pilates Studio,Berlin,Healthy,5.0,2
"CAFE Gestern, Heute & Morgen",Berlin,German,5.0,2
Antipasteria Garbatella,Berlin,Italian,5.0,2
Atayacaffe,Berlin,African,5.0,1
1687 Restaurant & Cafe,Berlin,French,5.0,4
+84 Vegan Restaurant,Berlin,Asian,5.0,1
Bata Bar & Billiards,Berlin,Contemporary,5.0,2
Brick,Berlin,International,5.0,1
Cafe Mugrabi,Berlin,Cafe,5.0,1
B.horn,Berlin,Bar,5.0,2
Bruno,Berlin,Italian,5.0,2
Ben Thanh,Berlin,Vietnamese,5.0,1
Babbo bar,Berlin,Italian,5.0,2
Arom Di Thai & Sushi,Berlin,Sushi,5.0,2
Beef Bull Club,Berlin,American,3.5,2
Cafe Barbucha,Berlin,Vegetarian Friendly,5.0,2
Bistro Faunesse,Berlin,German,5.0,1
Berlin Bistro Pomelo Tree,Berlin,Vietnamese,5.0,1
Cafe Fantone,Berlin,Italian,5.0,2
Alin Gaza Kitchen,Berlin,Mediterranean,5.0,1
Bar&Pizzeria Da Gelo,Berlin,Italian,5.0,2
Cafe Hygge,Berlin,German,5.0,1
Adana Royale Grill Kitchen,Berlin,Grill,5.0,4
Board'Eau,Berlin,Healthy,5.0,1
Cafe Eigenzeit,Berlin,International,5.0,1
Cafe Bar Central,Berlin,Italian,5.0,2
Arata Sushi,Berlin,Japanese,5.0,1
Auszeit Restaurant,Berlin,International,5.0,2
Cafe Mimosa,Berlin,French,5.0,2
Cafe Amitie,Berlin,Moroccan,5.0,2
Cafe Frida,Berlin,Mediterranean,5.0,1
Cafe & Bar norah,Berlin,Spanish,5.0,2
Cafe Nazca,Berlin,Spanish,5.0,2
Beste Bar,Berlin,Bar,5.0,1
Babuschka,Berlin,International,5.0,1
Bonbon Bar,Berlin,Bar,5.0,4
Borso Die Ungarische Speisekammer,Berlin,European,5.0,1
Berliner Feinkost Fraktion,Berlin,Vegetarian Friendly,5.0,1
Best Kosher Oriental,Berlin,Fast Food,5.0,1
Cafe Klangwerk,Berlin,International,5.0,1
Bar Kaffeepur,Berlin,Cafe,5.0,1
Arirang,Berlin,Asian,3.5,1
Bar a Vin,Berlin,French,4.0,2
Blacklist Bar Berlin,Berlin,Bar,5.0,4
Ammazza che Pizza,Berlin,Italian,5.0,2
Bao An,Berlin,Asian,5.0,1
Casa Italia,Berlin,Italian,2.5,2
Casa Italia,Berlin,Italian,2.5,1
Roxor BRGR & Beer,Bratislava,American,5.0,1
Albrecht,Bratislava,European,4.5,4
17's BAR,Bratislava,Bar,4.5,1
Drak&Finch,Bratislava,International,5.0,1
Simply Fresh Restaurant,Bratislava,International,5.0,2
Antica Toscana,Bratislava,Italian,4.5,2
Nobile Restaurant,Bratislava,French,5.0,2
Samovar,Bratislava,Central European,5.0,2
Petite Creperie - take away crepes,Bratislava,French,5.0,1
Foodstock Bratislava,Bratislava,Japanese,5.0,2
Don Saro Cucina Siciliana,Bratislava,Italian,5.0,2
Antique American Bar,Bratislava,European,5.0,2
Baroza Restaurant & Bistro,Bratislava,European,5.0,4
La Ventura,Bratislava,Spanish,5.0,2
Cajovna v Podzemi - Underground Tea Room,Bratislava,Cafe,5.0,1
Iasai,Bratislava,Japanese,5.0,2
Moree,Bratislava,International,5.0,2
Osud Wine Bar,Bratislava,European,5.0,1
Ako doma,Bratislava,European,4.5,2
DQ Bistro Polievocka,Bratislava,International,5.0,2
Balans Bistro,Bratislava,European,4.5,1
Meat and Beer,Bratislava,American,5.0,2
Akiko Sushi Bar,Bratislava,Japanese,4.5,2
Veggie,Bratislava,Soups,5.0,1
Trojka Bistro,Bratislava,American,5.0,1
Cafe del via,Bratislava,Bar,5.0,1
TESLA Coffee & Bar,Bratislava,European,5.0,1
American Bistro,Bratislava,American,5.0,2
Chilantro Garden Bar,Bratislava,Mexican,5.0,1
Pomazankovo,Bratislava,European,5.0,1
mini BAR by SPIN,Bratislava,Bar,5.0,1
100 Piv - Beer Shop & Bar,Bratislava,Bar,4.5,2
Food 2.0,Bratislava,Healthy,5.0,2
Bamboo Snp,Bratislava,Thai,5.0,2
Vinopolitan,Bratislava,Wine Bar,5.0,2
Kraken Cafe&Bar,Bratislava,Cafe,5.0,1
Jedna basen - Dlhe Diely,Bratislava,Italian,5.0,1
CREPES KISS bistro,Bratislava,French,5.0,1
CORK Taste & Shop,Bratislava,Bar,5.0,1
Nase hospoda Machnac,Bratislava,European,5.0,2
Moco Choco,Bratislava,Bar,5.0,1
U Dobreho Pastiera,Bratislava,Cafe,5.0,1
SVAG TO GO,Bratislava,European,5.0,1
Paleta - Wine bar,Bratislava,Italian,5.0,1
Don Papa Bar,Bratislava,Bar,5.0,2
Randevu Bistro,Bratislava,Polish,5.0,2
Bamboo Sushi,Bratislava,Sushi,4.5,2
Moare,Bratislava,International,5.0,2
Trunk Wine Gallery,Bratislava,Cafe,5.0,1
Alibi Music Bar & Lounge,Bratislava,Soups,5.0,1
Le Rabassier,Brussels,Belgian,5.0,4
Tonton Garby,Brussels,Belgian,5.0,1
Chez Bobonne,Brussels,Belgian,5.0,2
Sir Hanry's,Brussels,Lebanese,5.0,2
Le Barboteur - Bierotheque -,Brussels,Brew Pub,5.0,2
Life is Beautiful - Cocktail Bar,Brussels,Vegetarian Friendly,5.0,2
Samahuma Brussels Juice & Superfood,Brussels,Healthy,5.0,2
A Table,Brussels,French,4.5,2
Le mangeoire maison gourmande,Brussels,European,5.0,2
Les 4 jeudis,Brussels,Vegetarian Friendly,5.0,2
Mex y Co - Brussels Expo,Brussels,Mexican,5.0,1
Brasserie Des Allies,Brussels,Italian,5.0,2
Atrium,Brussels,French,4.0,2
Le Palais De Balkis,Brussels,Vegetarian Friendly,5.0,2
Mike & Becky,Brussels,Belgian,5.0,2
H&k's,Brussels,Vegetarian Friendly,5.0,2
Au Vieux Marche,Brussels,Belgian,5.0,2
Snack De Wand,Brussels,Vegetarian Friendly,5.0,1
Les Dodi,Brussels,Italian,5.0,1
Le Iene,Brussels,Italian,5.0,2
Bruno,Brussels,Italian,4.0,1
Le Altre Delizie,Brussels,Italian,5.0,2
Al Bacio,Brussels,Italian,4.5,2
Claire Fontaine,Brussels,European,5.0,2
Gyozaria - Harry Suzuki,Brussels,Japanese,5.0,2
La Cucina Delle Zie,Brussels,Italian,5.0,2
Atleta,Brussels,European,5.0,2
Enjoy,Brussels,European,4.0,2
Fourchette a Bicyclette,Brussels,Cafe,5.0,2
Domenica,Brussels,Italian,5.0,2
Gustine,Brussels,Delicatessen,5.0,1
Au Fil des Saveurs,Brussels,Italian,5.0,2
Cocorico,Brussels,Mediterranean,5.0,1
Le Local,Brussels,French,5.0,2
Renard Bakery,Brussels,French,5.0,2
Hibiscus,Brussels,Belgian,5.0,1
La Tavernetta,Brussels,Italian,4.0,2
Hanaya Sushi Restaurant,Brussels,Japanese,5.0,2
Le Gourmet,Brussels,Italian,5.0,1
"C-TOF Waffles, Ice cream & Coffee Corner",Brussels,Belgian,5.0,1
Le Gland,Brussels,Fast Food,5.0,2
La bonne table,Brussels,Italian,5.0,2
L'Equilibre,Brussels,Italian,5.0,1
