Name,City,Cuisine_Style,Rating,Price_Range
Au Jardin Bistrot,Geneva,French,4.5,2
La Tasca,Geneva,Spanish,5.0,2
Tian Min Li,Geneva,Chinese,5.0,2
22 Grand'rue,Geneva,European,4.5,2
Lemoncha,Geneva,Asian,5.0,1
Bang Yai,Geneva,Asian,4.5,2
Street Beirut,Geneva,Lebanese,5.0,2
La vie des champs,Geneva,French,5.0,2
5 Lounge Bar,Geneva,Contemporary,4.5,2
Al Amir,Geneva,Lebanese,4.5,1
La passione,Geneva,Italian,5.0,2
Barbershop Geneve,Geneva,Bar,4.5,2
Thai Twist,Geneva,Thai,5.0,2
Auberge des Vieux Chenes,Geneva,French,4.5,2
Au Chat Gourmand,Geneva,French,4.5,2
Addis-Abeba Cafe & Restaurant,Geneva,African,4.5,2
Auberge de Floris,Geneva,French,4.5,4
Ariston,Geneva,Italian,5.0,2
Al Quadrato,Geneva,Italian,5.0,2
Funky BBQ,Geneva,American,5.0,2
ADN bar,Geneva,Brew Pub,5.0,4
Au Royaume de Jade,Geneva,Asian,4.5,2
Il Destino,Geneva,Italian,4.0,2
Bistrot Metropole,Geneva,European,4.5,2
Vanity,Geneva,Italian,5.0,2
Athenee 4,Geneva,Pub,5.0,2
Foound,Geneva,Bar,5.0,1
Erawan Take Away,Geneva,European,5.0,2
La Cuisine de Sue,Geneva,Asian,5.0,2
Swiss Croq',Geneva,French,5.0,2
Grenus - Coworking Cafe Voisins,Geneva,International,5.0,2
Boulangerie Tea-Room Cappuccino,Geneva,Italian,5.0,2
Au Cafe Restaurant des Lauriers,Geneva,European,4.5,2
Les Enfants Terribles,Geneva,Vegetarian Friendly,5.0,2
Saveurs d'ici,Geneva,Swiss,5.0,2
A Table,Geneva,Italian,4.5,2
Aux Deux Portes,Geneva,Vegan Options,4.5,2
Come Prima,Geneva,Italian,4.0,2
Antep,Geneva,Turkish,4.5,2
Au Petit Delice,Geneva,Italian,4.5,1
La Perle du Rhone,Geneva,Pizza,5.0,2
Au Petit Comestible,Geneva,Italian,4.5,1
Artist's Pub,Geneva,Bar,4.5,2
Restaurant Hala,Hamburg,Lebanese,5.0,2
Helo Restaurant,Hamburg,Steakhouse,5.0,2
Gassenhaur,Hamburg,German,5.0,2
Philipps Restaurant,Hamburg,International,5.0,2
Restaurant Haerlin,Hamburg,French,5.0,4
Heldenplatz Restaurant,Hamburg,International,5.0,4
NOM vietnamesisches Restaurant,Hamburg,Asian,5.0,1
Restaurant Beiti,Hamburg,Lebanese,5.0,2
Campus,Hamburg,Vegetarian Friendly,5.0,2
Perle Restaurant,Hamburg,German,5.0,2
Public Coffee Roasters,Hamburg,Cafe,5.0,1
Atlas,Hamburg,European,4.0,2
Isola d'Ischia,Hamburg,Italian,5.0,2
Elsa's Bistro,Hamburg,Delicatessen,5.0,2
Liberty Eiscafe Und Bistro,Hamburg,Vegetarian Friendly,5.0,1
Fischfeinkost Delikatessen des Meeres,Hamburg,Seafood,5.0,1
Panaelme,Hamburg,German,5.0,2
Bizzo One,Hamburg,Italian,5.0,1
Alles Elbe,Hamburg,German,5.0,2
Le Cochinchine,Hamburg,Vietnamese,5.0,2
Bacaro,Hamburg,Italian,5.0,2
Heisse Ecke Grill St. Pauli,Hamburg,German,5.0,1
Der Gyros-Spezialist,Hamburg,Greek,5.0,1
Bianc Restaurant,Hamburg,Mediterranean,5.0,4
Genusshelden,Hamburg,German,5.0,1
Cafe Mimosa,Hamburg,Cafe,4.5,2
Hansekai,Hamburg,Bar,5.0,2
Focacceria Apulia,Hamburg,Italian,5.0,1
Kuchenstund'- Gluck im Mund,Hamburg,Cafe,5.0,1
Parissa's,Hamburg,Italian,5.0,2
Chavis Kulturcafe,Hamburg,German,5.0,1
Cafe du Port,Hamburg,French,5.0,1
Alexandros,Hamburg,International,5.0,2
Restaurant Hellas,Hamburg,Greek,5.0,2
Hafen-Klub Hamburg,Hamburg,International,5.0,4
BioKonditorei Eichel,Hamburg,Vegetarian Friendly,5.0,2
Nakorn Luang Thai Restaurant,Hamburg,Thai,5.0,2
RAIN Cafeatery,Hamburg,International,5.0,2
Bunthaus Schankraum,Hamburg,German,5.0,1
Doner Pavillon,Hamburg,Turkish,5.0,1
Hopper Braeu,Hamburg,American,5.0,1
Luv & Lee,Hamburg,German,5.0,1
Palastkueche,Hamburg,German,5.0,2
Calistoga Wine Saloon,Hamburg,Wine Bar,5.0,2
El Buen Amigo,Hamburg,Mexican,5.0,1
Cube Mia,Hamburg,Caribbean,5.0,2
Foodpecker Kitchen,Hamburg,Bar,5.0,2
Bianchini,Hamburg,Mediterranean,5.0,2
Adele&Clodwig,Hamburg,German,5.0,1
Goedekens Kombuse,Hamburg,German,5.0,1
Chao_vietfood Restaurant,Hamburg,Vietnamese,5.0,1
KULT Eis und Cafe,Hamburg,Italian,5.0,1
BLINIt Russian Restaurant,Helsinki,Russian,4.5,1
Baskeri & Basso,Helsinki,European,4.5,2
Ask,Helsinki,European,4.5,4
Aito,Helsinki,European,4.5,2
Sushi Wagocoro,Helsinki,Japanese,5.0,2
Casa Italia,Helsinki,Italian,4.5,2
Atelje Finne,Helsinki,European,4.5,4
Dylan Marmoripiha,Helsinki,Mediterranean,5.0,2
Cafe' Rouge,Helsinki,Cafe,5.0,1
Raw 'n More Cafe,Helsinki,Cafe,5.0,2
Bastion Bistro,Helsinki,European,4.5,2
Kalatukku E. Eriksson Oy,Helsinki,Seafood,5.0,2
Bar Cafe Apero,Helsinki,French,5.0,2
Veggie,Helsinki,Cafe,4.5,1
Basbas,Helsinki,European,4.5,2
Sunkosi Kitchen,Helsinki,Nepali,5.0,2
Cafe Talo,Helsinki,Bar,4.5,2
Addis Ethiopian Kitchen,Helsinki,African,4.5,2
#Citypie - Fast Slow Food,Helsinki,Cafe,4.5,1
Norilla Kahvila,Helsinki,Japanese,5.0,2
Bar & Bistro Kiusaus,Helsinki,American,4.5,2
John's Coffee Shop,Helsinki,European,5.0,1
Presto,Helsinki,Italian,3.5,2
African Pots,Helsinki,African,4.5,1
Cafe Makiata,Helsinki,European,5.0,2
Casa Chipotle,Helsinki,Latin,5.0,1
Bar Base,Helsinki,Bar,4.5,2
Restaurant Laiska Karhu,Helsinki,Pub,5.0,2
Bumi Cafe,Helsinki,Asian,4.5,1
Mizu,Helsinki,Japanese,5.0,2
Minilicious Tea & Caphe,Helsinki,French,5.0,1
Kaffecentralen Korkeavuorenkatu,Helsinki,Cafe,5.0,1
Santino,Helsinki,Cafe,5.0,1
KOKORO Sushi (Vallila),Helsinki,Sushi,5.0,1
Bar Favela,Helsinki,Bar,4.5,2
AA Han Thai,Helsinki,Thai,4.5,1
Cafe Huvila,Helsinki,Scandinavian,4.5,2
Bar Bakkari,Helsinki,Bar,4.5,2
Cafe Hemma,Helsinki,Italian,4.5,2
Going Greek,Helsinki,Fast Food,5.0,2
Hunaja Cafe Oy,Helsinki,Cafe,5.0,2
La Soupe,Helsinki,Cafe,5.0,1
Surote,Helsinki,Fusion,5.0,1
Emoi,Helsinki,Asian,5.0,2
Bar Molotow,Helsinki,Bar,4.5,1
Sashi,Helsinki,Sushi,5.0,1
Blondie Bakes,Helsinki,American,4.5,2
Beefy Queen,Helsinki,Eastern European,4.5,1
Cafe Monami,Helsinki,Soups,4.5,2
Cafe Taideterassi,Helsinki,Cafe,4.5,2
Cafe Truffel,Helsinki,International,4.5,2
Bar Loose,Helsinki,Bar,4.5,2
Diyalo,Helsinki,Asian,4.0,2
Gossip Cafe,Krakow,Polish,5.0,2
Od Jajka Do Jablka,Krakow,International,5.0,2
Bistro Bene by Tomasz Lesniak,Krakow,Bar,5.0,2
M22 Beef'N'Chips,Krakow,American,5.0,1
Bottiglieria 1881,Krakow,European,5.0,4
Luna Siciliana,Krakow,Italian,5.0,1
Gruba Bula,Krakow,American,5.0,2
Gogo Burger,Krakow,American,5.0,1
Hummus Amamamusi Restaurant,Krakow,Lebanese,5.0,1
Marcelino Chleb i Wino,Krakow,Italian,5.0,2
Meat & Go,Krakow,Italian,5.0,1
Coffee Kiosk,Krakow,Italian,5.0,1
Jajownia,Krakow,Polish,5.0,1
Klub Wodki,Krakow,Pub,5.0,1
Makarun Sw. Tomasza,Krakow,Italian,5.0,1
Klub Stolarnia,Krakow,Polish,5.0,2
Paninoteca Vicenti,Krakow,Italian,5.0,1
Hariprasad Samosa&Curry,Krakow,Indian,5.0,1
Mama Didn't Lie,Krakow,American,5.0,1
Mandu,Krakow,Asian,5.0,1
Indalo Cafe,Krakow,Bar,5.0,1
Baza Pub,Krakow,Eastern European,5.0,1
PieRogi 2GO,Krakow,Polish,5.0,1
Atrium,Krakow,European,4.0,2
Ice Lab,Krakow,Polish,5.0,1
Bistro Beta,Krakow,Polish,5.0,2
Babbaluci,Krakow,Italian,5.0,2
Chez Nicholas,Krakow,French,5.0,2
Kawalerka,Krakow,Cafe,5.0,1
Lunch Bar U Jedrusia,Krakow,Polish,5.0,1
Bel Mondo Ice Craem Craft,Krakow,Polish,5.0,2
Brasailenia,Krakow,American,5.0,2
O ja Cie Donacie,Krakow,Cafe,5.0,1
Bistro GotuJemy,Krakow,Polish,5.0,1
House of Burger Krakow,Krakow,American,5.0,1
Che Bonta',Krakow,Pizza,5.0,1
"""Bistro Antidotum""",Krakow,Polish,5.0,1
Chicken Cafe,Krakow,American,5.0,1
Eataway,Krakow,Polish,5.0,4
Bonita Pizzeria,Krakow,Italian,5.0,1
Garaz Food & Wine,Krakow,Polish,5.0,2
Pierwszy Stopien,Krakow,Bar,5.0,1
Amsterdam Chips,Krakow,Belgian,5.0,1
Lili&Rose Chimney Cakes Bakery,Krakow,Polish,5.0,1
Fabryka Smaku,Krakow,Polish,5.0,1
Olimp K1,Krakow,Polish,5.0,1
Makarun Spaghetti and Salad,Krakow,Italian,5.0,1
Cup & Glass,Krakow,Cafe,5.0,1
Limoncello,Krakow,Italian,5.0,1
Bar 25,Krakow,Polish,5.0,1
Airy-Fairy,Krakow,Japanese,5.0,1
Estamine Art Food Drink,Lisbon,Bar,5.0,1
Frankie,Lisbon,American,4.5,1
BacoAlto,Lisbon,Portuguese,5.0,1
Limoncello,Lisbon,Italian,4.5,2
Darshan Nepal,Lisbon,Asian,5.0,1
Brooklyn,Lisbon,Cafe,4.5,1
Dom Queijo Cheese House,Lisbon,French,5.0,2
Bowls&Bar,Lisbon,Cafe,5.0,2
Beco a Serio,Lisbon,European,5.0,2
Bruta Flor,Lisbon,Mediterranean,5.0,2
Cervejaria Artesanal Adamastor,Lisbon,European,5.0,2
Bar 35 Lisboa,Lisbon,European,5.0,1
Distinto,Lisbon,Mediterranean,5.0,2
Conserva-te,Lisbon,Mediterranean,5.0,2
Batata Doce,Lisbon,African,5.0,2
Fabrica Imperial,Lisbon,European,5.0,1
CervejAlfama,Lisbon,Seafood,5.0,2
Antiga Wine Bar,Lisbon,European,5.0,2
Crouton,Lisbon,Pizza,5.0,2
Blend,Lisbon,Mediterranean,4.0,2
Diyalo,Lisbon,Vegetarian Friendly,5.0,1
A Talisca,Lisbon,European,5.0,2
Benformoso Restaurante & Bar,Lisbon,Asian,5.0,2
Friends Bairro Alto,Lisbon,Bar,5.0,1
Afonso a Torres,Lisbon,European,5.0,1
Focca,Lisbon,Italian,5.0,1
Fabrica Pastel Feijao,Lisbon,International,5.0,1
Dhan Shiri Restaurant,Lisbon,Indian,5.0,1
A Avo Tinha,Lisbon,European,5.0,2
D&D Arte de Degustar,Lisbon,European,5.0,2
Cafe Bertrand,Lisbon,European,5.0,2
Everest Restaurante Sao Jorge,Lisbon,European,5.0,1
Don Costini - Cais do Sodre,Lisbon,European,5.0,2
Cinebairro,Lisbon,Bar,5.0,1
Brunchy,Lisbon,Italian,5.0,1
Calcada do Cacau,Lisbon,Cafe,5.0,1
A Petisqueira da Boa-Hora,Lisbon,European,5.0,2
Ela Canela,Lisbon,Healthy,5.0,2
Bengal Restaurante,Lisbon,Indian,5.0,2
A Viagem Petiscaria-Bar,Lisbon,European,5.0,2
Casa NanBan Sushi,Lisbon,Japanese,5.0,2
Fabrica do Poema,Lisbon,Brazilian,5.0,2
EHL - Eight The Healt Lounge,Lisbon,Contemporary,5.0,1
Docel,Lisbon,European,5.0,1
Angel Kitchen,Lisbon,European,5.0,1
Estudantina Cafe,Lisbon,European,5.0,1
Alma Fidalga,Lisbon,African,5.0,2
Boca Cafe,Lisbon,International,4.0,2
Delisbon,Lisbon,European,5.0,2
Agapimu,Lisbon,Spanish,5.0,1
Casa Vintage,Lisbon,European,5.0,2
Das Tripas Coracao,Lisbon,European,5.0,1
Bar Real,Lisbon,Spanish,5.0,2
Crave,Lisbon,Fast Food,5.0,2
Electrico Cafe,Lisbon,European,5.0,2
Fari's Delice,Ljubljana,Fast Food,5.0,1
Druga Violina,Ljubljana,European,4.5,1
Cajna hisa,Ljubljana,Cafe,4.5,2
Abi Falafel,Ljubljana,Middle Eastern,4.5,1
Gostilna As,Ljubljana,Seafood,4.5,4
Ek Bistro,Ljubljana,Cafe,4.5,2
Vineria Del Ponte,Ljubljana,Wine Bar,5.0,2
Gostilna Dela,Ljubljana,Mediterranean,4.5,1
Das ist Valter,Ljubljana,Barbecue,4.5,1
Wine bar Suklje,Ljubljana,European,5.0,2
Zbornica,Ljubljana,International,5.0,1
Azur - tratorija s picami,Ljubljana,Italian,4.5,2
Atelje,Ljubljana,Steakhouse,4.5,4
Gostilna Jakob Franc,Ljubljana,European,4.5,2
Dezela Okusov,Ljubljana,Bar,4.5,2
Kolibri Cocktail Bar,Ljubljana,American,5.0,2
Mala Terasa,Ljubljana,European,5.0,1
Gostilna Kovac,Ljubljana,European,4.5,2
Bistro Zvezda,Ljubljana,Mediterranean,4.5,2
Barbarella Arkade Bistro (Vegan and Vegeterian),Ljubljana,Cafe,4.5,2
Bazilika Bistro,Ljubljana,Cafe,4.5,2
Burek Olimpija,Ljubljana,Slovenian,4.5,1
Asian Bistro OSHA,Ljubljana,Bar,4.5,1
Ajdovo Zrno,Ljubljana,European,4.5,2
10 v pol,Ljubljana,Eastern European,4.5,1
Dinner in the Sky,Ljubljana,European,4.5,4
Gostilna Pri Stricku,Ljubljana,European,5.0,2
Boschtiz,Ljubljana,Bar,5.0,2
Restavracija Harfa,Ljubljana,European,5.0,2
Gostilna Janezic,Ljubljana,European,4.5,2
Brodo,Ljubljana,European,5.0,1
Dvor Tacen,Ljubljana,Bar,4.5,2
Gostilna Florjanckov Hram,Ljubljana,European,4.5,2
Bazilika Krizanke,Ljubljana,Bar,4.5,2
Ajda,Ljubljana,Fast Food,4.5,1
Gostilnica Marjeta,Ljubljana,Italian,5.0,1
Kavarna in bistro MihaChef,Ljubljana,European,5.0,2
Bistro Ftp,Ljubljana,Mediterranean,4.5,2
Gostilna Cubr,Ljubljana,European,4.5,2
Kepca in Klasek,Ljubljana,European,5.0,2
Bistro Ambient,Ljubljana,Mediterranean,4.5,2
Gostilna Dobnikar,Ljubljana,European,4.5,2
Lavine - Ice cream rolls,Ljubljana,Delicatessen,5.0,1
Kodila,Ljubljana,Slovenian,5.0,1
Wine boutique DEKANTER,Ljubljana,European,5.0,4
BOEM - Tradicionalna Srbska Restavracija,Ljubljana,European,4.5,2
Atrium,Ljubljana,International,4.5,2
Gig,Ljubljana,International,4.5,1
Dobra Vila Pizzeria,Ljubljana,Pizza,4.5,1
Casa Wine & Tapas,Ljubljana,Cafe,4.5,1
Bar 61 Restaurant,London,Mediterranean,5.0,2
Adore Remo,London,Italian,5.0,2
Alexandrie Restaurant,London,Mediterranean,5.0,4
140 Portobello,London,French,5.0,2
Alcedo Bistro & Bar,London,European,5.0,2
Hibiscus,London,French,4.0,4
129HRD,London,European,5.0,2
Apollo Restaurant,London,Barbecue,5.0,2
Alla Salute,London,Italian,5.0,2
Arment WJ & Son,London,Fast Food,5.0,1
Ecco,London,Italian,4.5,1
Asmak albasha,London,Middle Eastern,5.0,2
Aurora,London,European,4.5,2
Aleion,London,Vegetarian Friendly,5.0,2
All Inn One,London,Bar,5.0,2
Baristas Fusion Cafe,London,European,5.0,1
Bariba' Italian Deli,London,Italian,5.0,2
Bar 48,London,Bar,5.0,2
Bacaro,London,Italian,4.5,2
Bbq Grill,London,Mediterranean,5.0,1
Atlas,London,Bar,4.5,2
Alcazar Lounge,London,Grill,5.0,2
Le Gourmet,London,Lebanese,4.5,1
Asoo's,London,Indian,5.0,2
Chicken Kitchen,London,Caribbean,4.5,1
Andu Cafe,London,African,5.0,1
Apulia Cafe Ltd,London,Italian,5.0,2
B'acino,London,International,5.0,2
Baalbakis Restaurant,London,Lebanese,5.0,2
Arirang,London,Asian,3.5,2
Aqua Deli,London,Cafe,5.0,1
Vesuvio Cafe,London,Cafe,4.5,1
Amici,London,Italian,3.5,2
222 Kitchen,London,European,5.0,2
Amalfi caffeUK,London,Italian,5.0,1
Anima Sarda Italian Restaurant,London,Italian,5.0,2
Alex's Place | Kebab And Steak House,London,Fast Food,5.0,1
Art Deli,London,Cafe,5.0,1
3 Points Cafe,London,Cafe,5.0,2
Cocorico,London,Italian,4.0,2
Babel Cafe & Restaurant,London,Lebanese,5.0,2
Al Farah Cafe,London,Lebanese,5.0,1
Aromma,London,Cafe,5.0,1
Attendant Clerkenwell,London,European,5.0,2
B Grill,London,European,5.0,2
Acton Cafe,London,Cafe,5.0,1
1n1 Fashion n Pizza,London,Italian,5.0,1
Balti Lounge,London,Indian,5.0,2
Amici Coffee Deli,London,Delicatessen,5.0,1
Ambience Express 2,London,Fast Food,5.0,1
Asador Argentine Steaks and Burger,London,Steakhouse,5.0,1
Cafe Mimosa,London,British,5.0,2
Andalucia Palace,London,British,5.0,2
7 Tales,London,Japanese,5.0,2
Amigos Restaurant Ltd,London,Chinese,5.0,2
Ana's Croquetas,London,Spanish,5.0,1
All In A Pickle,London,Delicatessen,5.0,2
Asian Restaurant,London,Indian,5.0,1
El Patron,London,Mexican,5.0,1
BeBelge,London,Belgian,5.0,1
Aromatic Delicatessen,London,Italian,5.0,2
Essenza,London,Italian,3.5,2
Ecco,London,Pizza,3.5,1
Amici,London,Italian,4.0,2
Agora Greek Bakery,London,Greek,5.0,2
Steam Bar,London,Bar,2.5,2
Amigos Mediterranean Restaurant,London,Latin,5.0,2
Clairefontaine,Luxembourg,French,4.5,4
Cyrano,Luxembourg,Italian,4.5,2
Athena Restaurant Grec,Luxembourg,Mediterranean,4.5,2
Ambrosia,Luxembourg,Mediterranean,4.5,2
Batucada,Luxembourg,Grill,4.5,2
Essenza,Luxembourg,Bar,4.5,2
Bistro Podenco,Luxembourg,Mediterranean,4.5,2
Fu Lu Shou Inn,Luxembourg,Chinese,4.5,2
Brasserie L'Annexe,Luxembourg,French,4.5,2
Pizzeria bei der Auer,Luxembourg,Italian,5.0,2
Golden Chopsticks,Luxembourg,Japanese,4.5,2
Namaste,Luxembourg,Indian,4.0,2
Cafe Bel Air,Luxembourg,Vegetarian Friendly,4.5,2
Au P'tit Max,Luxembourg,French,4.5,2
Come Prima,Luxembourg,Italian,4.5,2
Bei De Bouwen,Luxembourg,European,4.5,2
Bistro Carthago,Luxembourg,Mediterranean,4.5,2
Culturando,Luxembourg,Italian,4.5,2
Brooklyn,Luxembourg,American,4.5,2
La Piazzetta,Luxembourg,Italian,5.0,1
Bonifas,Luxembourg,French,4.5,2
Dipso - the Wine Republic,Luxembourg,European,4.5,2
Aubergine,Luxembourg,French,4.5,2
Aux delices du Wok,Luxembourg,Chinese,4.5,2
Colisee,Luxembourg,Mediterranean,5.0,2
Al Bacio,Luxembourg,Italian,4.5,2
Bick Stuff,Luxembourg,French,4.5,2
Caffe Torino,Luxembourg,Italian,4.5,2
Hakii Belair,Luxembourg,Japanese,4.5,2
Jiaoli et Ses Amis,Luxembourg,Vegetarian Friendly,5.0,2
Cafe de Tramways,Luxembourg,Bar,4.5,1
Cercle Munster,Luxembourg,French,4.5,4
Ennert de Steiler,Luxembourg,Bar,4.5,2
Appayan,Luxembourg,Indian,4.5,2
Awada,Luxembourg,Japanese,4.5,2
Brasserie Wenzel,Luxembourg,International,4.5,2
Chicken Kitchen,Luxembourg,American,4.5,2
Amelys,Luxembourg,European,4.5,2
Il Destino,Luxembourg,Italian,5.0,2
Haid 'Art Cafe,Luxembourg,Fusion,5.0,2
Boulangerie Grevig,Luxembourg,French,5.0,1
Atelier Del Gusto Limpertsberg,Luxembourg,Italian,4.5,1
MOKA Bar&Restaurant,Luxembourg,Italian,5.0,2
Rising Nepal,Luxembourg,Indian,5.0,2
Mu Luxembourg,Luxembourg,French,5.0,4
Aller Retour,Luxembourg,French,4.5,2
Streatchef Food Truck Luxembourg,Luxembourg,French,5.0,1
Gourmandises Permises,Luxembourg,Cafe,4.5,2
Brasserie du Strasbourg Orient Express,Luxembourg,Mediterranean,4.5,2
Au Plaisir de Vivre,Luxembourg,Vegetarian Friendly,4.5,2
Fama Ristorante Pizzeria,Luxembourg,Italian,4.5,2
Aromatic,Lyon,French,5.0,2
Le Supreme,Lyon,French,5.0,4
La Bouteillerie,Lyon,French,5.0,2
Le Book-Lard,Lyon,French,5.0,1
La Gamelle de Montchat,Lyon,French,5.0,2
Le Zeste Gourmand,Lyon,French,5.0,4
Himalia,Lyon,Italian,5.0,1
Le Comptoir des Cousins,Lyon,French,5.0,2
LE LUMINARIUM,Lyon,French,5.0,1
Mike Restaurant,Lyon,American,5.0,2
Les Enfants Terribles,Lyon,French,3.5,2
Le Petit Bouclard,Lyon,French,5.0,2
Chateauneuf du Peuple,Lyon,Wine Bar,5.0,2
Du Monde Ailleurs,Lyon,Lebanese,5.0,1
Lucien et La Cocotte,Lyon,Fast Food,5.0,2
Bentomania,Lyon,Japanese,5.0,2
Monsieur P,Lyon,French,5.0,4
Les Tontons Burgers,Lyon,American,5.0,2
Jiang.Xin,Lyon,French,5.0,2
Chez Marion,Lyon,French,5.0,2
Le Jeu de Quilles,Lyon,French,5.0,2
Gabriella,Lyon,Italian,5.0,2
Coffret du Gourmet,Lyon,French,5.0,2
Kitchen Garden,Lyon,French,5.0,2
L'Ecume,Lyon,French,5.0,2
Brooklyn Gourmet Bagels Co.,Lyon,American,5.0,1
Hector,Lyon,French,5.0,2
Coney Cookies,Lyon,French,5.0,2
Banh Mi,Lyon,Asian,4.5,2
Crepe Tower,Lyon,French,5.0,2
Mansaya,Lyon,Cajun  Creole,5.0,2
L'Odyssee de Nima,Lyon,African,5.0,2
Maison Guitel,Lyon,French,5.0,1
Barocco,Lyon,Italian,3.0,2
Le Biniou,Lyon,French,5.0,1
Le Jardin du Paradis,Lyon,Mediterranean,5.0,2
Le Plateau De Manu,Lyon,French,5.0,2
A la folie,Lyon,French,5.0,2
La Fonderie,Lyon,Brew Pub,5.0,1
Boulangerie Saint Paul,Lyon,French,5.0,1
Madelice Burger Grill Gourmet,Lyon,French,5.0,2
Assiette et Maree,Lyon,Seafood,5.0,4
L'Assiette autour du Vin,Lyon,French,5.0,2
Maison Deschamps Boulangerie Cafe,Lyon,French,5.0,2
Fournil San Priots,Lyon,French,5.0,1
Les Gourmandises D'Alexandre,Lyon,Wine Bar,5.0,2
Garden,Lyon,Street Food,5.0,2
LA KOLOK - LYON 1er,Lyon,French,5.0,1
Maison Tacca,Lyon,Italian,5.0,2
Le 42,Lyon,French,5.0,2
Le Cafe Saint Germain,Lyon,French,5.0,2
Namaste,Lyon,Indian,5.0,2
Bistrot Chardonnet,Lyon,French,5.0,2
Cebo,Madrid,Mediterranean,5.0,4
Astor,Madrid,International,5.0,2
Brew Wild Pizza Bar,Madrid,Brew Pub,5.0,2
Bombardino Cafe,Madrid,Italian,5.0,2
Bizikletak,Madrid,Mediterranean,5.0,2
Calicanto Madrid,Madrid,Mediterranean,5.0,2
Arbonaida Bar,Madrid,Mediterranean,5.0,2
La Tavernetta,Madrid,Italian,4.5,2
Cafe Bar Quinta,Madrid,Mediterranean,5.0,2
Arrayan,Madrid,Mediterranean,5.0,4
Cereal Talent Cafe,Madrid,American,5.0,1
20 A La Cata,Madrid,Cafe,5.0,2
Baiyor,Madrid,Thai,5.0,2
Ahora En El 16,Madrid,Mediterranean,5.0,2
20 A La Cata,Madrid,Cafe,5.0,2
Bicoca Gastro Bar,Madrid,Spanish,5.0,2
Cantina Canalla - G.Paredes,Madrid,Mexican,5.0,2
Cascorro Bistrot,Madrid,French,5.0,2
AGOSTO bar,Madrid,Spanish,5.0,1
Bar Pacoteo,Madrid,Spanish,5.0,1
Denay Coffee Bar,Madrid,Bar,5.0,1
BeeHealthyShop,Madrid,Asian,5.0,1
Condominium Tapas Bar,Madrid,Vegetarian Friendly,5.0,1
CUXTA Antojitos-Beer & Shop,Madrid,Mexican,5.0,2
AviBurger,Madrid,American,5.0,2
Deli Peppe,Madrid,Italian,5.0,1
Cafe Bar Mama Tere,Madrid,Central American,5.0,2
Cafrune,Madrid,Vegetarian Friendly,5.0,2
Delish Vegan Doughnuts,Madrid,American,5.0,1
Delish Vegan Doughnuts,Madrid,American,5.0,1
Alicia Maravillas Pasteleria & Brunch,Madrid,Cafe,5.0,2
Bunny's Deli,Madrid,Cafe,5.0,2
Churreria Pinilla,Madrid,Spanish,5.0,1
Camperos Malaguenos,Madrid,Fast Food,5.0,1
Cocina 34,Madrid,Spanish,5.0,1
Cafeteria restaurante virgo,Madrid,Spanish,5.0,2
Chacabuco 9-30,Madrid,Spanish,5.0,2
Bartoky's,Madrid,Japanese,5.0,1
Brasserie Antoinette,Madrid,French,5.0,2
Cafeteria Lima,Madrid,Bar,5.0,1
Chickenchicken,Madrid,Steakhouse,5.0,2
Cantespino,Madrid,Spanish,5.0,4
Alibai Food & Bar,Madrid,Fusion,5.0,2
Bar del Reves,Madrid,Spanish,5.0,1
Chapela Tienda&Cafe,Madrid,Spanish,5.0,2
Al Otro Lado Del Mediterraneo,Madrid,French,5.0,1
Celicioso Callao,Madrid,American,5.0,2
Delicakes,Madrid,Italian,5.0,1
Caracola,Madrid,Mediterranean,5.0,1
Agrado Bistro,Madrid,Mediterranean,5.0,2
Degustazone,Madrid,Mediterranean,5.0,2
Allo Pizza,Madrid,Italian,3.5,1
Come Prima,Madrid,Italian,4.0,2
Casablanca Taberna,Madrid,Mediterranean,5.0,2
Cafe del Sur,Madrid,Spanish,5.0,2
Dersett,Milan,Italian,5.0,2
Essenza,Milan,Italian,4.5,4
Kate Away,Milan,Italian,5.0,2
Namaste,Milan,Indian,4.0,2
Bosco Verticale Restaurant Milano,Milan,Italian,5.0,2
Bufalatte,Milan,Delicatessen,5.0,2
Pepe e Sale,Milan,Italian,3.5,2
Il Panino,Milan,Italian,5.0,1
Ishi Restaurant Fusion,Milan,Chinese,5.0,2
Acero,Milan,Chinese,4.0,2
Cous-Cous Restaurant,Milan,Italian,5.0,2
Avgvsto Premiata Gelateria,Milan,Vegan Options,5.0,2
AltaGuardia17,Milan,Mediterranean,5.0,4
Bison Steak House,Milan,Steakhouse,5.0,2
Big Sandwich,Milan,Italian,5.0,2
Flavors Milano,Milan,Italian,5.0,1
Acai Sisters,Milan,International,5.0,1
King of Salads,Milan,Italian,5.0,2
Enoteca Max's Wine,Milan,Italian,5.0,2
Furment E Fumeri,Milan,Italian,5.0,2
Glitter Bar Tabaccheria,Milan,Cafe,5.0,1
Blend,Milan,Italian,5.0,1
Bellini Brothers dal 1963,Milan,Bar,5.0,1
KIOSKO sushi and more,Milan,Japanese,5.0,2
Gnulot,Milan,Italian,5.0,1
Hopduvel,Milan,Brew Pub,5.0,2
Galli Take Away Pizza,Milan,Pizza,5.0,1
404 e-Sport Lounge Bar,Milan,Bar,5.0,1
Hops Beer Shop Milano,Milan,Brew Pub,5.0,2
BebelMilano,Milan,Italian,5.0,1
Felix,Milan,Italian,4.0,2
Il Corbello,Milan,Italian,5.0,2
